Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:1:43,,
Header Version:,1,,
System Temp (C):,30.31,,
Detector Temp (C):,29.21,,
Humidity (%):,32.72,,
Lamp PD:,3795,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.504,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.097752,23756.000000,18968.000000
905.500242,0.103330,26065.000000,20546.000000
909.444026,0.101549,28446.000000,22515.000000
913.383411,0.107723,31151.000000,24308.000000
917.318397,0.112083,34594.000000,26725.000000
921.248983,0.113562,38706.000000,29800.000000
925.175171,0.110880,43333.000000,33569.000000
929.096959,0.113118,48106.000000,37075.000000
933.014348,0.113665,52854.000000,40683.000000
936.927338,0.112341,57207.000000,44168.000000
942.137815,0.110849,62583.000000,48485.000000
946.040540,0.110971,66412.000000,51437.000000
949.938866,0.109780,70192.000000,54514.000000
953.832793,0.110112,73953.000000,57391.000000
957.722320,0.109642,77741.000000,60396.000000
961.607449,0.109968,81459.000000,63237.000000
965.488178,0.110229,84970.000000,65923.000000
969.364509,0.111288,88307.000000,68345.000000
973.236440,0.108046,91422.000000,71286.000000
977.103972,0.109170,94242.000000,73295.000000
980.967105,0.107911,96650.000000,75386.000000
984.825838,0.110546,98706.000000,76524.000000
988.680173,0.110073,100691.000000,78148.000000
992.530108,0.109553,102102.000000,79338.000000
997.656512,0.110291,103062.000000,79948.000000
1001.496183,0.110569,103488.000000,80227.000000
1005.331454,0.110102,103668.000000,80453.000000
1009.162327,0.110245,103604.000000,80377.000000
1012.988800,0.109775,103501.000000,80384.000000
1016.810874,0.109879,103473.000000,80343.000000
1020.628549,0.110050,103180.000000,80084.000000
1024.441824,0.110716,102848.000000,79704.000000
1028.250701,0.110103,102542.000000,79579.000000
1032.055178,0.110046,102330.000000,79425.000000
1035.855257,0.109339,102161.000000,79423.000000
1039.650936,0.109306,101990.000000,79296.000000
1043.442216,0.109462,101741.000000,79074.000000
1048.490413,0.110616,101666.000000,78806.000000
1052.271428,0.109370,101700.000000,79059.000000
1056.048044,0.108974,101777.000000,79191.000000
1059.820261,0.108593,101906.000000,79361.000000
1063.588079,0.109094,102259.000000,79544.000000
1067.351497,0.109143,102763.000000,79927.000000
1071.110517,0.107761,103190.000000,80515.000000
1074.865137,0.108406,103645.000000,80750.000000
1078.615358,0.107279,104247.000000,81430.000000
1082.361180,0.106783,104844.000000,81990.000000
1086.102603,0.107009,105404.000000,82385.000000
1089.839627,0.105421,105830.000000,83021.000000
1093.572251,0.106252,106541.000000,83419.000000
1097.300477,0.106797,106997.000000,83671.000000
1102.264601,0.106732,107655.000000,84198.000000
1105.982562,0.108910,108209.000000,84208.000000
1109.696123,0.109983,108541.000000,84258.000000
1113.405285,0.112464,108883.000000,84042.000000
1117.110049,0.115486,109111.000000,83634.000000
1120.810413,0.119600,109449.000000,83102.000000
1124.506378,0.124067,110148.000000,82777.000000
1128.197943,0.124998,110387.000000,82779.000000
1131.885110,0.124507,110542.000000,82989.000000
1135.567878,0.119918,110818.000000,84080.000000
1139.246246,0.115814,111041.000000,85049.000000
1142.920215,0.113715,111319.000000,85675.000000
1146.589785,0.110832,111575.000000,86444.000000
1150.254956,0.110530,112030.000000,86857.000000
1155.135007,0.111273,112594.000000,87145.000000
1158.789913,0.112099,113176.000000,87429.000000
