Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:7:13,,
Header Version:,1,,
System Temp (C):,30.54,,
Detector Temp (C):,29.39,,
Humidity (%):,32.97,,
Lamp PD:,3794,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.460,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.202820,23756.000000,14892.000000
905.500242,0.209124,26065.000000,16104.000000
909.444026,0.207720,28446.000000,17632.000000
913.383411,0.215222,31151.000000,18978.000000
917.318397,0.218169,34594.000000,20933.000000
921.248983,0.220106,38706.000000,23317.000000
925.175171,0.217954,43333.000000,26234.000000
929.096959,0.220056,48106.000000,28983.000000
933.014348,0.219137,52854.000000,31911.000000
936.927338,0.218072,57207.000000,34624.000000
942.137815,0.215839,62583.000000,38073.000000
946.040540,0.215478,66412.000000,40436.000000
949.938866,0.212950,70192.000000,42987.000000
953.832793,0.212762,73953.000000,45310.000000
957.722320,0.211850,77741.000000,47731.000000
961.607449,0.212630,81459.000000,49924.000000
965.488178,0.212211,84970.000000,52126.000000
969.364509,0.213569,88307.000000,54004.000000
973.236440,0.210288,91422.000000,56333.000000
977.103972,0.211236,94242.000000,57944.000000
980.967105,0.209730,96650.000000,59631.000000
984.825838,0.212079,98706.000000,60571.000000
988.680173,0.211616,100691.000000,61855.000000
992.530108,0.211075,102102.000000,62800.000000
997.656512,0.211921,103062.000000,63267.000000
1001.496183,0.212219,103488.000000,63485.000000
1005.331454,0.212188,103668.000000,63600.000000
1009.162327,0.211913,103604.000000,63601.000000
1012.988800,0.210962,103501.000000,63677.000000
1016.810874,0.211240,103473.000000,63619.000000
1020.628549,0.210753,103180.000000,63510.000000
1024.441824,0.212318,102848.000000,63078.000000
1028.250701,0.211582,102542.000000,62997.000000
1032.055178,0.211580,102330.000000,62867.000000
1035.855257,0.210862,102161.000000,62867.000000
1039.650936,0.210937,101990.000000,62751.000000
1043.442216,0.210790,101741.000000,62619.000000
1048.490413,0.211609,101666.000000,62455.000000
1052.271428,0.210421,101700.000000,62647.000000
1056.048044,0.210368,101777.000000,62702.000000
1059.820261,0.209964,101906.000000,62840.000000
1063.588079,0.210161,102259.000000,63029.000000
1067.351497,0.210495,102763.000000,63291.000000
1071.110517,0.208871,103190.000000,63792.000000
1074.865137,0.209626,103645.000000,63962.000000
1078.615358,0.208625,104247.000000,64482.000000
1082.361180,0.207664,104844.000000,64995.000000
1086.102603,0.207638,105404.000000,65346.000000
1089.839627,0.206053,105830.000000,65850.000000
1093.572251,0.207053,106541.000000,66140.000000
1097.300477,0.207014,106997.000000,66429.000000
1102.264601,0.206965,107655.000000,66845.000000
1105.982562,0.208474,108209.000000,66956.000000
1109.696123,0.208645,108541.000000,67135.000000
1113.405285,0.210885,108883.000000,67000.000000
1117.110049,0.212481,109111.000000,66894.000000
1120.810413,0.214936,109449.000000,66723.000000
1124.506378,0.217838,110148.000000,66702.000000
1128.197943,0.218480,110387.000000,66748.000000
1131.885110,0.218225,110542.000000,66881.000000
1135.567878,0.215448,110818.000000,67478.000000
1139.246246,0.212974,111041.000000,68000.000000
1142.920215,0.211907,111319.000000,68338.000000
1146.589785,0.210225,111575.000000,68761.000000
1150.254956,0.210145,112030.000000,69054.000000
1155.135007,0.211321,112594.000000,69214.000000
1158.789913,0.211726,113176.000000,69507.000000
1162.440420,0.212399,113756.000000,69755.000000
1166.086528,0.213868,114495.000000,69971.000000
1169.728237,0.214450,115248.000000,70337.000000
1173.365546,0.215054,116196.000000,70817.000000
1176.998457,0.215348,117260.000000,71417.000000
1180.626968,0.213238,118314.000000,72410.000000
1184.251080,0.212275,119420.000000,73249.000000
1187.870793,0.211681,120660.000000,74111.000000
1191.486107,0.211698,122104.000000,74995.000000
1195.097021,0.210107,123408.000000,76074.000000
1198.703537,0.209644,124879.000000,77063.000000
1203.505381,0.210155,127171.000000,78385.000000
1207.101631,0.209143,128929.000000,79654.000000
1210.693483,0.209252,130624.000000,80681.000000
