Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 16:38:25,,
Header Version:,1,,
System Temp (C):,30.14,,
Detector Temp (C):,28.6,,
Humidity (%):,33.97,,
Lamp PD:,3795,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.509,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1360.981500,0.082844,175417.000000,144953.000000
1364.379789,0.083157,174939.000000,144454.000000
1367.773679,0.082464,174429.000000,144263.000000
1371.163169,0.083437,174092.000000,143662.000000
1374.548260,0.082739,173838.000000,143683.000000
1377.928953,0.084489,173647.000000,142948.000000
1381.305246,0.084728,173017.000000,142351.000000
1384.677139,0.084947,172585.000000,141924.000000
1388.044634,0.085623,172273.000000,141447.000000
1391.407730,0.086770,171871.000000,140745.000000
1394.766426,0.086706,171212.000000,140226.000000
1399.237845,0.089361,170477.000000,138773.000000
1402.586276,0.090108,170057.000000,138193.000000
1405.930309,0.091410,169522.000000,137346.000000
1409.269942,0.092704,169040.000000,136548.000000
1412.605176,0.093605,168685.000000,135979.000000
1415.936011,0.093712,168440.000000,135748.000000
1419.262447,0.093048,168277.000000,135824.000000
1422.584484,0.092432,168052.000000,135835.000000
1425.902122,0.091063,168094.000000,136298.000000
1429.215360,0.090320,168176.000000,136598.000000
1432.524199,0.089693,168237.000000,136845.000000
1435.828639,0.087705,168356.000000,137570.000000
1439.128680,0.086430,168675.000000,138236.000000
1442.424322,0.085550,168916.000000,138714.000000
1446.811668,0.084364,169258.000000,139375.000000
1450.097045,0.084039,169379.000000,139579.000000
1453.378023,0.082896,169391.000000,139957.000000
1456.654602,0.083029,169334.000000,139867.000000
1459.926782,0.082638,169305.000000,139969.000000
1463.194562,0.081729,169126.000000,140114.000000
1466.457943,0.081430,168919.000000,140039.000000
1469.716926,0.080516,168594.000000,140064.000000
1472.971509,0.080317,168234.000000,139829.000000
1476.221692,0.079213,167663.000000,139709.000000
1479.467477,0.079838,167217.000000,139137.000000
1482.708863,0.079050,166625.000000,138896.000000
1485.945849,0.077292,166131.000000,139046.000000
1489.178436,0.077593,165518.000000,138437.000000
1493.481710,0.078131,164484.000000,137402.000000
1496.704032,0.078571,164054.000000,136904.000000
1499.921956,0.078673,163401.000000,136327.000000
1503.135480,0.078914,162290.000000,135325.000000
1506.344605,0.078070,161374.000000,134823.000000
1509.549331,0.078429,160366.000000,133870.000000
1512.749658,0.077833,159378.000000,133228.000000
1515.945585,0.077362,158285.000000,132458.000000
1519.137114,0.077662,157316.000000,131556.000000
1522.324243,0.077960,156147.000000,130489.000000
1525.506973,0.078137,155113.000000,129572.000000
1528.685304,0.078172,154000.000000,128632.000000
1531.859236,0.078579,152588.000000,127333.000000
1535.028769,0.077650,151256.000000,126492.000000
1539.247969,0.078009,149501.000000,124921.000000
1542.407237,0.077688,148026.000000,123780.000000
1545.562106,0.076726,146484.000000,122762.000000
1548.712576,0.077250,144932.000000,121315.000000
1551.858646,0.076667,143312.000000,120120.000000
1555.000318,0.077944,141623.000000,118356.000000
1558.137590,0.078338,139790.000000,116718.000000
1561.270463,0.078223,137958.000000,115219.000000
1564.398937,0.077652,136203.000000,113903.000000
1567.523012,0.077555,134303.000000,112339.000000
1570.642687,0.078223,132340.000000,110527.000000
1573.757964,0.078958,130373.000000,108700.000000
1576.868841,0.080335,128194.000000,106545.000000
1581.009834,0.080563,125453.000000,104212.000000
1584.110447,0.082421,123268.000000,101960.000000
1587.206660,0.082403,121128.000000,100194.000000
1590.298475,0.083475,118983.000000,98177.000000
1593.385890,0.083410,116601.000000,96226.000000
1596.468906,0.083780,114492.000000,94405.000000
1599.547522,0.084540,112247.000000,92392.000000
1602.621740,0.088209,110113.000000,89873.000000
1605.691559,0.088199,107845.000000,88024.000000
1608.756978,0.090522,105764.000000,85865.000000
1611.817998,0.094326,103762.000000,83505.000000
1614.874619,0.095421,101454.000000,81442.000000
1617.926841,0.097144,99141.000000,79270.000000
1620.974664,0.099255,96810.000000,77031.000000
1625.031584,0.102424,93749.000000,74053.000000
1628.069142,0.105613,91480.000000,71732.000000
1631.102301,0.110708,89180.000000,69113.000000
1634.131061,0.115537,86957.000000,66645.000000
1637.155422,0.126734,84664.000000,63236.000000
1640.175383,0.138734,82560.000000,59984.000000
1643.190945,0.156336,80299.000000,56024.000000
1646.202108,0.172796,77863.000000,52304.000000
1649.208872,0.192918,75323.000000,48307.000000
1652.211237,0.210788,72646.000000,44712.000000
1655.209203,0.224516,69695.000000,41561.000000
1658.202769,0.236567,66120.000000,38350.000000
1661.191937,0.232328,61928.000000,36271.000000
1664.176705,0.217998,57108.000000,34570.000000
1668.149553,0.181699,49420.000000,32524.000000
1671.124056,0.152376,43252.000000,30453.000000
1674.094160,0.125224,37007.000000,27737.000000
1677.059866,0.100679,31448.000000,24941.000000
1680.021172,0.083286,26509.000000,21883.000000
1682.978078,0.075469,22318.000000,18758.000000
1685.930586,0.072749,18913.000000,15996.000000
1688.878695,0.061314,16215.000000,14080.000000
1691.822404,0.055778,13947.000000,12266.000000
1694.761714,0.060300,12072.000000,10507.000000
1697.696625,0.060823,10552.000000,9173.000000
1700.627137,0.061873,9233.000000,8007.000000
