Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 16:32:44,,
Header Version:,1,,
System Temp (C):,29.52,,
Detector Temp (C):,28.27,,
Humidity (%):,35.26,,
Lamp PD:,3797,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.452,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.007077,23756.000000,23372.000000
905.500242,0.010421,26065.000000,25447.000000
909.444026,0.008308,28446.000000,27907.000000
913.383411,0.014314,31151.000000,30141.000000
917.318397,0.017497,34594.000000,33228.000000
921.248983,0.018967,38706.000000,37052.000000
925.175171,0.015165,43333.000000,41846.000000
929.096959,0.018442,48106.000000,46106.000000
933.014348,0.017513,52854.000000,50765.000000
936.927338,0.016652,57207.000000,55055.000000
942.137815,0.014981,62583.000000,60461.000000
946.040540,0.015382,66412.000000,64101.000000
949.938866,0.014079,70192.000000,67953.000000
953.832793,0.014140,73953.000000,71584.000000
957.722320,0.013135,77741.000000,75425.000000
961.607449,0.013746,81459.000000,78921.000000
965.488178,0.013987,84970.000000,82277.000000
969.364509,0.015066,88307.000000,85296.000000
973.236440,0.011246,91422.000000,89085.000000
977.103972,0.012743,94242.000000,91517.000000
980.967105,0.011621,96650.000000,94098.000000
984.825838,0.013436,98706.000000,95699.000000
988.680173,0.013172,100691.000000,97683.000000
992.530108,0.012536,102102.000000,99197.000000
997.656512,0.013594,103062.000000,99886.000000
1001.496183,0.013801,103488.000000,100251.000000
1005.331454,0.013358,103668.000000,100528.000000
1009.162327,0.013133,103604.000000,100518.000000
1012.988800,0.012653,103501.000000,100529.000000
1016.810874,0.012583,103473.000000,100518.000000
1020.628549,0.012156,103180.000000,100332.000000
1024.441824,0.013261,102848.000000,99755.000000
1028.250701,0.012490,102542.000000,99635.000000
1032.055178,0.012114,102330.000000,99515.000000
1035.855257,0.011523,102161.000000,99486.000000
1039.650936,0.011189,101990.000000,99396.000000
1043.442216,0.010910,101741.000000,99217.000000
1048.490413,0.012239,101666.000000,98841.000000
1052.271428,0.010520,101700.000000,99266.000000
1056.048044,0.009617,101777.000000,99548.000000
1059.820261,0.009827,101906.000000,99626.000000
1063.588079,0.010032,102259.000000,99924.000000
1067.351497,0.009723,102763.000000,100488.000000
1071.110517,0.008062,103190.000000,101292.000000
1074.865137,0.008740,103645.000000,101580.000000
1078.615358,0.007170,104247.000000,102540.000000
1082.361180,0.006363,104844.000000,103319.000000
1086.102603,0.005840,105404.000000,103996.000000
1089.839627,0.003900,105830.000000,104884.000000
1093.572251,0.004721,106541.000000,105389.000000
1097.300477,0.004730,106997.000000,105838.000000
1102.264601,0.004456,107655.000000,106556.000000
1105.982562,0.006160,108209.000000,106685.000000
1109.696123,0.007165,108541.000000,106765.000000
1113.405285,0.009439,108883.000000,106542.000000
1117.110049,0.012628,109111.000000,105984.000000
1120.810413,0.016153,109449.000000,105453.000000
1124.506378,0.020473,110148.000000,105076.000000
1128.197943,0.021245,110387.000000,105117.000000
1131.885110,0.020419,110542.000000,105465.000000
1135.567878,0.015885,110818.000000,106838.000000
1139.246246,0.011963,111041.000000,108024.000000
1142.920215,0.010148,111319.000000,108748.000000
1146.589785,0.007063,111575.000000,109775.000000
1150.254956,0.006779,112030.000000,110295.000000
1155.135007,0.007301,112594.000000,110717.000000
1158.789913,0.008032,113176.000000,111102.000000
1162.440420,0.008571,113756.000000,111533.000000
1166.086528,0.009561,114495.000000,112002.000000
1169.728237,0.010134,115248.000000,112590.000000
1173.365546,0.010096,116196.000000,113526.000000
1176.998457,0.009996,117260.000000,114592.000000
1180.626968,0.006736,118314.000000,116493.000000
1184.251080,0.004717,119420.000000,118130.000000
1187.870793,0.003085,120660.000000,119806.000000
1191.486107,0.001725,122104.000000,121620.000000
1195.097021,-0.001083,123408.000000,123716.000000
1198.703537,-0.002019,124879.000000,125461.000000
1203.505381,-0.003500,127171.000000,128200.000000
1207.101631,-0.004517,128929.000000,130277.000000
1210.693483,-0.004880,130624.000000,132100.000000
1214.280935,-0.004307,132432.000000,133752.000000
1217.863989,-0.005301,134356.000000,136006.000000
1221.442643,-0.005699,136434.000000,138236.000000
1225.016898,-0.005826,138254.000000,140121.000000
1228.586754,-0.005623,140110.000000,141936.000000
1232.152210,-0.006822,142307.000000,144560.000000
1235.713268,-0.007043,144480.000000,146842.000000
1239.269926,-0.006447,146375.000000,148564.000000
1242.822185,-0.007630,148395.000000,151025.000000
1246.370045,-0.007479,150778.000000,153397.000000
1249.913506,-0.007516,153060.000000,155732.000000
1254.631278,-0.006867,155918.000000,158403.000000
1258.164474,-0.006160,157931.000000,160187.000000
1261.693271,-0.005853,160225.000000,162399.000000
1265.217669,-0.006461,162531.000000,164967.000000
1268.737667,-0.005758,164471.000000,166666.000000
1272.253267,-0.006659,166342.000000,168912.000000
1275.764467,-0.006570,168611.000000,171181.000000
1279.271269,-0.007099,170630.000000,173442.000000
1282.773671,-0.007412,172186.000000,175150.000000
1286.271674,-0.007691,173503.000000,176603.000000
1289.765277,-0.008085,175078.000000,178368.000000
1293.254482,-0.007339,176321.000000,179326.000000
1296.739287,-0.006842,177150.000000,179963.000000
1300.219694,-0.006966,178114.000000,180994.000000
1304.853392,-0.005572,179516.000000,181834.000000
1308.323534,-0.005022,180112.000000,182207.000000
1311.789276,-0.004492,180427.000000,182303.000000
1315.250620,-0.005280,180849.000000,183061.000000
1318.707564,-0.005044,181295.000000,183413.000000
1322.160109,-0.004165,181387.000000,183135.000000
1325.608255,-0.003925,181312.000000,182958.000000
1329.052002,-0.003565,181274.000000,182768.000000
1332.491349,-0.003275,181109.000000,182480.000000
1335.926297,-0.002839,180689.000000,181874.000000
1339.356847,-0.001658,179848.000000,180536.000000
1342.782997,-0.000274,179242.000000,179355.000000
1346.204748,0.002021,178573.000000,177744.000000
1349.622099,0.003786,177890.000000,176346.000000
1354.171725,0.006726,176659.000000,173944.000000
1357.578812,0.008372,175938.000000,172579.000000
1360.981500,0.009013,175417.000000,171814.000000
1364.379789,0.009269,174939.000000,171245.000000
1367.773679,0.008633,174429.000000,170996.000000
1371.163169,0.009590,174092.000000,170290.000000
1374.548260,0.008757,173838.000000,170368.000000
1377.928953,0.010477,173647.000000,169508.000000
1381.305246,0.010750,173017.000000,168787.000000
1384.677139,0.011397,172585.000000,168115.000000
1388.044634,0.011922,172273.000000,167608.000000
1391.407730,0.013405,171871.000000,166647.000000
1394.766426,0.013335,171212.000000,166035.000000
1399.237845,0.015986,170477.000000,164316.000000
1402.586276,0.016994,170057.000000,163531.000000
1405.930309,0.018178,169522.000000,162573.000000
1409.269942,0.019279,169040.000000,161700.000000
1412.605176,0.019970,168685.000000,161104.000000
1415.936011,0.020200,168440.000000,160785.000000
1419.262447,0.019517,168277.000000,160882.000000
1422.584484,0.018615,168052.000000,161001.000000
1425.902122,0.016995,168094.000000,161643.000000
1429.215360,0.016169,168176.000000,162030.000000
1432.524199,0.015223,168237.000000,162442.000000
1435.828639,0.013048,168356.000000,163373.000000
