Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 17:26:9,,
Header Version:,1,,
System Temp (C):,35.36,,
Detector Temp (C):,39.42,,
Humidity (%):,27.77,,
Lamp PD:,3786,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.510,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1360.981500,0.257215,175417.000000,97019.000000
1364.379789,0.258427,174939.000000,96485.000000
1367.773679,0.259669,174429.000000,95929.000000
1371.163169,0.262475,174092.000000,95127.000000
1374.548260,0.264263,173838.000000,94598.000000
1377.928953,0.267766,173647.000000,93735.000000
1381.305246,0.269186,173017.000000,93090.000000
1384.677139,0.270749,172585.000000,92524.000000
1388.044634,0.271703,172273.000000,92154.000000
1391.407730,0.273307,171871.000000,91600.000000
1394.766426,0.272735,171212.000000,91369.000000
1399.237845,0.274384,170477.000000,90632.000000
1402.586276,0.275070,170057.000000,90266.000000
1405.930309,0.275679,169522.000000,89856.000000
1409.269942,0.276526,169040.000000,89426.000000
1412.605176,0.277652,168685.000000,89007.000000
1415.936011,0.278331,168440.000000,88739.000000
1419.262447,0.278498,168277.000000,88619.000000
1422.584484,0.278795,168052.000000,88440.000000
1425.902122,0.278334,168094.000000,88556.000000
1429.215360,0.279179,168176.000000,88427.000000
1432.524199,0.279425,168237.000000,88409.000000
1435.828639,0.278618,168356.000000,88636.000000
1439.128680,0.278125,168675.000000,88905.000000
1442.424322,0.277832,168916.000000,89092.000000
1446.811668,0.277902,169258.000000,89258.000000
1450.097045,0.278368,169379.000000,89226.000000
1453.378023,0.277878,169391.000000,89333.000000
1456.654602,0.278282,169334.000000,89220.000000
1459.926782,0.278451,169305.000000,89170.000000
1463.194562,0.277782,169126.000000,89213.000000
1466.457943,0.278928,168919.000000,88869.000000
1469.716926,0.279560,168594.000000,88569.000000
1472.971509,0.281461,168234.000000,87994.000000
1476.221692,0.282831,167663.000000,87419.000000
1479.467477,0.285266,167217.000000,86699.000000
1482.708863,0.286152,166625.000000,86216.000000
1485.945849,0.285508,166131.000000,86088.000000
1489.178436,0.287108,165518.000000,85455.000000
1493.481710,0.288733,164484.000000,84604.000000
1496.704032,0.290661,164054.000000,84009.000000
1499.921956,0.292047,163401.000000,83408.000000
1503.135480,0.294412,162290.000000,82391.000000
1506.344605,0.296149,161374.000000,81599.000000
1509.549331,0.298497,160366.000000,80652.000000
1512.749658,0.299360,159378.000000,79996.000000
1515.945585,0.300106,158285.000000,79311.000000
1519.137114,0.302091,157316.000000,78466.000000
1522.324243,0.303280,156147.000000,77670.000000
1525.506973,0.305191,155113.000000,76817.000000
1528.685304,0.307130,154000.000000,75926.000000
1531.859236,0.309764,152588.000000,74775.000000
1535.028769,0.309806,151256.000000,74115.000000
1539.247969,0.309694,149501.000000,73274.000000
1542.407237,0.306712,148026.000000,73051.000000
1545.562106,0.301659,146484.000000,73136.000000
1548.712576,0.296760,144932.000000,73182.000000
1551.858646,0.292811,143312.000000,73025.000000
1555.000318,0.291197,141623.000000,72433.000000
1558.137590,0.291225,139790.000000,71491.000000
1561.270463,0.292069,137958.000000,70417.000000
1564.398937,0.293573,136203.000000,69281.000000
1567.523012,0.295143,134303.000000,68068.000000
1570.642687,0.297318,132340.000000,66738.000000
1573.757964,0.298814,130373.000000,65520.000000
1576.868841,0.298631,128194.000000,64452.000000
1581.009834,0.296392,125453.000000,63400.000000
1584.110447,0.295777,123268.000000,62384.000000
1587.206660,0.294115,121128.000000,61536.000000
1590.298475,0.294426,118983.000000,60403.000000
1593.385890,0.294850,116601.000000,59136.000000
1596.468906,0.294689,114492.000000,58088.000000
1599.547522,0.295017,112247.000000,56906.000000
1602.621740,0.297147,110113.000000,55551.000000
1605.691559,0.294638,107845.000000,54722.000000
1608.756978,0.293192,105764.000000,53845.000000
1611.817998,0.292722,103762.000000,52883.000000
1614.874619,0.289682,101454.000000,52070.000000
1617.926841,0.287790,99141.000000,51105.000000
1620.974664,0.285909,96810.000000,50120.000000
1625.031584,0.282045,93749.000000,48969.000000
1628.069142,0.279624,91480.000000,48051.000000
1631.102301,0.278817,89180.000000,46930.000000
1634.131061,0.276698,86957.000000,45984.000000
1637.155422,0.276809,84664.000000,44760.000000
1640.175383,0.274909,82560.000000,43839.000000
1643.190945,0.275270,80299.000000,42603.000000
1646.202108,0.273419,77863.000000,41487.000000
1649.208872,0.272410,75323.000000,40227.000000
1652.211237,0.269669,72646.000000,39043.000000
1655.209203,0.263372,69695.000000,38004.000000
1658.202769,0.256342,66120.000000,36643.000000
1661.191937,0.241365,61928.000000,35524.000000
1664.176705,0.223154,57108.000000,34162.000000
1668.149553,0.186384,49420.000000,32175.000000
1671.124056,0.151052,43252.000000,30546.000000
1674.094160,0.113637,37007.000000,28487.000000
1677.059866,0.074298,31448.000000,26503.000000
1680.021172,0.042567,26509.000000,24034.000000
1682.978078,0.021521,22318.000000,21239.000000
1685.930586,0.014760,18913.000000,18281.000000
1688.878695,0.013547,16215.000000,15717.000000
1691.822404,0.024104,13947.000000,13194.000000
1694.761714,0.040782,12072.000000,10990.000000
1697.696625,0.059075,10552.000000,9210.000000
1700.627137,0.078909,9233.000000,7699.000000
