Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 16:43:41,,
Header Version:,1,,
System Temp (C):,30.2,,
Detector Temp (C):,29.36,,
Humidity (%):,32.03,,
Lamp PD:,3795,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.513,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1360.981500,0.025717,175417.000000,165331.000000
1364.379789,0.025748,174939.000000,164869.000000
1367.773679,0.025405,174429.000000,164518.000000
1371.163169,0.026306,174092.000000,163860.000000
1374.548260,0.025926,173838.000000,163764.000000
1377.928953,0.027634,173647.000000,162942.000000
1381.305246,0.027955,173017.000000,162231.000000
1384.677139,0.028263,172585.000000,161711.000000
1388.044634,0.028998,172273.000000,161146.000000
1391.407730,0.030329,171871.000000,160278.000000
1394.766426,0.030493,171212.000000,159603.000000
1399.237845,0.032847,170477.000000,158059.000000
1402.586276,0.033824,170057.000000,157315.000000
1405.930309,0.034920,169522.000000,156425.000000
1409.269942,0.036175,169040.000000,155530.000000
1412.605176,0.037171,168685.000000,154848.000000
1415.936011,0.037652,168440.000000,154452.000000
1419.262447,0.037271,168277.000000,154438.000000
1422.584484,0.036310,168052.000000,154573.000000
1425.902122,0.034495,168094.000000,155259.000000
1429.215360,0.033919,168176.000000,155541.000000
1432.524199,0.032894,168237.000000,155965.000000
1435.828639,0.030622,168356.000000,156894.000000
1439.128680,0.029178,168675.000000,157715.000000
1442.424322,0.028258,168916.000000,158275.000000
1446.811668,0.027177,169258.000000,158991.000000
1450.097045,0.026366,169379.000000,159402.000000
1453.378023,0.025278,169391.000000,159813.000000
1456.654602,0.025600,169334.000000,159641.000000
1459.926782,0.025310,169305.000000,159720.000000
1463.194562,0.024294,169126.000000,159925.000000
1466.457943,0.024015,168919.000000,159832.000000
1469.716926,0.022956,168594.000000,159914.000000
1472.971509,0.022715,168234.000000,159661.000000
1476.221692,0.021837,167663.000000,159441.000000
1479.467477,0.022362,167217.000000,158825.000000
1482.708863,0.021536,166625.000000,158564.000000
1485.945849,0.019731,166131.000000,158752.000000
1489.178436,0.019949,165518.000000,158087.000000
1493.481710,0.020445,164484.000000,156920.000000
1496.704032,0.020806,164054.000000,156380.000000
1499.921956,0.020768,163401.000000,155771.000000
1503.135480,0.020880,162290.000000,154672.000000
1506.344605,0.020287,161374.000000,154009.000000
1509.549331,0.020651,160366.000000,152919.000000
1512.749658,0.019917,159378.000000,152234.000000
1515.945585,0.019440,158285.000000,151356.000000
1519.137114,0.020048,157316.000000,150219.000000
1522.324243,0.019910,156147.000000,149150.000000
1525.506973,0.019900,155113.000000,148166.000000
1528.685304,0.019840,154000.000000,147123.000000
1531.859236,0.020425,152588.000000,145578.000000
1535.028769,0.019553,151256.000000,144597.000000
1539.247969,0.020174,149501.000000,142715.000000
1542.407237,0.019889,148026.000000,141400.000000
1545.562106,0.018853,146484.000000,140261.000000
1548.712576,0.019088,144932.000000,138700.000000
1551.858646,0.018659,143312.000000,137285.000000
1555.000318,0.019653,141623.000000,135357.000000
1558.137590,0.020278,139790.000000,133413.000000
1561.270463,0.020082,137958.000000,131724.000000
1564.398937,0.019509,136203.000000,130220.000000
1567.523012,0.019453,134303.000000,128420.000000
1570.642687,0.020233,132340.000000,126316.000000
1573.757964,0.021458,130373.000000,124088.000000
1576.868841,0.022317,128194.000000,121773.000000
1581.009834,0.022660,125453.000000,119075.000000
1584.110447,0.024510,123268.000000,116504.000000
1587.206660,0.024640,121128.000000,114447.000000
1590.298475,0.025395,118983.000000,112225.000000
1593.385890,0.025709,116601.000000,109899.000000
1596.468906,0.025899,114492.000000,107864.000000
1599.547522,0.026457,112247.000000,105613.000000
1602.621740,0.030298,110113.000000,102693.000000
1605.691559,0.030206,107845.000000,100599.000000
1608.756978,0.032496,105764.000000,98139.000000
1611.817998,0.036699,103762.000000,95354.000000
1614.874619,0.037898,101454.000000,92976.000000
1617.926841,0.039571,99141.000000,90507.000000
1620.974664,0.041946,96810.000000,87897.000000
1625.031584,0.044992,93749.000000,84523.000000
1628.069142,0.048530,91480.000000,81808.000000
