Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 17:6:28,,
Header Version:,1,,
System Temp (C):,31,,
Detector Temp (C):,29.38,,
Humidity (%):,38.52,,
Lamp PD:,3792,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  1.387,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,1.083074,23756.000000,1962.000000
905.500242,1.085441,26065.000000,2141.000000
909.444026,1.082953,28446.000000,2350.000000
913.383411,1.094318,31151.000000,2507.000000
917.318397,1.101885,34594.000000,2736.000000
921.248983,1.098805,38706.000000,3083.000000
925.175171,1.099000,43333.000000,3450.000000
929.096959,1.102530,48106.000000,3799.000000
933.014348,1.105449,52854.000000,4146.000000
936.927338,1.101447,57207.000000,4529.000000
942.137815,1.099838,62583.000000,4973.000000
946.040540,1.100931,66412.000000,5264.000000
949.938866,1.102935,70192.000000,5538.000000
953.832793,1.102841,73953.000000,5836.000000
957.722320,1.101704,77741.000000,6151.000000
961.607449,1.100169,81459.000000,6468.000000
965.488178,1.101509,84970.000000,6726.000000
969.364509,1.104135,88307.000000,6948.000000
973.236440,1.102574,91422.000000,7219.000000
977.103972,1.100924,94242.000000,7470.000000
980.967105,1.101427,96650.000000,7652.000000
984.825838,1.102583,98706.000000,7794.000000
988.680173,1.103389,100691.000000,7936.000000
992.530108,1.103077,102102.000000,8053.000000
997.656512,1.106279,103062.000000,8069.000000
1001.496183,1.108339,103488.000000,8064.000000
1005.331454,1.106838,103668.000000,8106.000000
1009.162327,1.109041,103604.000000,8060.000000
1012.988800,1.107748,103501.000000,8076.000000
1016.810874,1.108007,103473.000000,8069.000000
1020.628549,1.109313,103180.000000,8022.000000
1024.441824,1.111228,102848.000000,7961.000000
1028.250701,1.109880,102542.000000,7962.000000
1032.055178,1.111113,102330.000000,7923.000000
1035.855257,1.110176,102161.000000,7927.000000
1039.650936,1.111205,101990.000000,7895.000000
1043.442216,1.111963,101741.000000,7862.000000
1048.490413,1.112085,101666.000000,7854.000000
1052.271428,1.112009,101700.000000,7858.000000
1056.048044,1.109748,101777.000000,7905.000000
1059.820261,1.111013,101906.000000,7892.000000
1063.588079,1.110976,102259.000000,7920.000000
1067.351497,1.111962,102763.000000,7941.000000
1071.110517,1.109517,103190.000000,8019.000000
1074.865137,1.110995,103645.000000,8027.000000
1078.615358,1.111029,104247.000000,8073.000000
1082.361180,1.107843,104844.000000,8179.000000
1086.102603,1.109520,105404.000000,8191.000000
1089.839627,1.105217,105830.000000,8306.000000
1093.572251,1.108334,106541.000000,8302.000000
1097.300477,1.107893,106997.000000,8346.000000
1102.264601,1.109205,107655.000000,8372.000000
1105.982562,1.109416,108209.000000,8411.000000
1109.696123,1.107916,108541.000000,8466.000000
1113.405285,1.109077,108883.000000,8470.000000
1117.110049,1.111217,109111.000000,8446.000000
1120.810413,1.107703,109449.000000,8541.000000
1124.506378,1.111435,110148.000000,8522.000000
1128.197943,1.110698,110387.000000,8555.000000
1131.885110,1.111358,110542.000000,8554.000000
1135.567878,1.110364,110818.000000,8595.000000
1139.246246,1.108970,111041.000000,8640.000000
1142.920215,1.112323,111319.000000,8595.000000
1146.589785,1.109598,111575.000000,8669.000000
1150.254956,1.108022,112030.000000,8736.000000
1155.135007,1.110302,112594.000000,8734.000000
1158.789913,1.109124,113176.000000,8803.000000
1162.440420,1.111245,113756.000000,8805.000000
1166.086528,1.110325,114495.000000,8881.000000
1169.728237,1.110490,115248.000000,8936.000000
1173.365546,1.112157,116196.000000,8975.000000
1176.998457,1.112789,117260.000000,9044.000000
1180.626968,1.112375,118314.000000,9134.000000
1184.251080,1.110466,119420.000000,9260.000000
1187.870793,1.111682,120660.000000,9330.000000
1191.486107,1.111620,122104.000000,9443.000000
1195.097021,1.111886,123408.000000,9538.000000
1198.703537,1.109539,124879.000000,9704.000000
1203.505381,1.110291,127171.000000,9865.000000
1207.101631,1.111133,128929.000000,9982.000000
1210.693483,1.111100,130624.000000,10114.000000
1214.280935,1.110507,132432.000000,10268.000000
1217.863989,1.111433,134356.000000,10395.000000
1221.442643,1.111300,136434.000000,10559.000000
1225.016898,1.111050,138254.000000,10706.000000
1228.586754,1.111079,140110.000000,10849.000000
1232.152210,1.109353,142307.000000,11063.000000
1235.713268,1.109776,144480.000000,11221.000000
1239.269926,1.108829,146375.000000,11393.000000
1242.822185,1.109628,148395.000000,11529.000000
1246.370045,1.109559,150778.000000,11716.000000
1249.913506,1.110301,153060.000000,11873.000000
1254.631278,1.112306,155918.000000,12039.000000
1258.164474,1.113963,157931.000000,12148.000000
1261.693271,1.114966,160225.000000,12296.000000
1265.217669,1.113991,162531.000000,12501.000000
