Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:26:8,,
Header Version:,1,,
System Temp (C):,30.27,,
Detector Temp (C):,29.01,,
Humidity (%):,33.74,,
Lamp PD:,3795,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.515,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1360.981500,0.131782,175417.000000,129506.000000
1364.379789,0.132681,174939.000000,128886.000000
1367.773679,0.133037,174429.000000,128405.000000
1371.163169,0.134911,174092.000000,127605.000000
1374.548260,0.134686,173838.000000,127485.000000
1377.928953,0.136497,173647.000000,126815.000000
1381.305246,0.137088,173017.000000,126183.000000
1384.677139,0.138681,172585.000000,125407.000000
1388.044634,0.140915,172273.000000,124538.000000
1391.407730,0.144197,171871.000000,123312.000000
1394.766426,0.146491,171212.000000,122192.000000
1399.237845,0.152470,170477.000000,120004.000000
1402.586276,0.156528,170057.000000,118595.000000
1405.930309,0.161252,169522.000000,116943.000000
1409.269942,0.166269,169040.000000,115271.000000
1412.605176,0.170370,168685.000000,113948.000000
1415.936011,0.173348,168440.000000,113005.000000
1419.262447,0.174687,168277.000000,112548.000000
1422.584484,0.175342,168052.000000,112228.000000
1425.902122,0.174180,168094.000000,112557.000000
1429.215360,0.173817,168176.000000,112706.000000
1432.524199,0.172302,168237.000000,113141.000000
1435.828639,0.170121,168356.000000,113791.000000
1439.128680,0.167953,168675.000000,114577.000000
1442.424322,0.166297,168916.000000,115179.000000
1446.811668,0.164383,169258.000000,115922.000000
1450.097045,0.162963,169379.000000,116385.000000
1453.378023,0.161604,169391.000000,116758.000000
1456.654602,0.161197,169334.000000,116828.000000
1459.926782,0.160046,169305.000000,117118.000000
1463.194562,0.158302,169126.000000,117465.000000
1466.457943,0.156884,168919.000000,117705.000000
1469.716926,0.154703,168594.000000,118070.000000
1472.971509,0.152907,168234.000000,118306.000000
1476.221692,0.150792,167663.000000,118480.000000
1479.467477,0.149591,167217.000000,118492.000000
1482.708863,0.147465,166625.000000,118652.000000
1485.945849,0.144040,166131.000000,119237.000000
