Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 16:37:45,,
Header Version:,1,,
System Temp (C):,29.51,,
Detector Temp (C):,28.38,,
Humidity (%):,33.31,,
Lamp PD:,3796,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.453,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,-0.021750,23756.000000,24976.000000
905.500242,-0.016158,26065.000000,27053.000000
909.444026,-0.017989,28446.000000,29649.000000
913.383411,-0.010659,31151.000000,31925.000000
917.318397,-0.008306,34594.000000,35262.000000
921.248983,-0.005995,38706.000000,39244.000000
925.175171,-0.009065,43333.000000,44247.000000
929.096959,-0.006888,48106.000000,48875.000000
933.014348,-0.006184,52854.000000,53612.000000
936.927338,-0.008190,57207.000000,58296.000000
942.137815,-0.009235,62583.000000,63928.000000
946.040540,-0.008861,66412.000000,67781.000000
949.938866,-0.010206,70192.000000,71861.000000
953.832793,-0.009618,73953.000000,75609.000000
957.722320,-0.010236,77741.000000,79595.000000
961.607449,-0.009789,81459.000000,83316.000000
965.488178,-0.009539,84970.000000,86857.000000
969.364509,-0.008112,88307.000000,89972.000000
973.236440,-0.011305,91422.000000,93833.000000
977.103972,-0.010116,94242.000000,96463.000000
980.967105,-0.011095,96650.000000,99151.000000
984.825838,-0.008850,98706.000000,100738.000000
988.680173,-0.009366,100691.000000,102886.000000
992.530108,-0.009770,102102.000000,104425.000000
997.656512,-0.008335,103062.000000,105059.000000
1001.496183,-0.008124,103488.000000,105442.000000
1005.331454,-0.008492,103668.000000,105715.000000
1009.162327,-0.008468,103604.000000,105644.000000
1012.988800,-0.008970,103501.000000,105661.000000
1016.810874,-0.008483,103473.000000,105514.000000
1020.628549,-0.008763,103180.000000,105283.000000
1024.441824,-0.007531,102848.000000,104647.000000
1028.250701,-0.008709,102542.000000,104619.000000
1032.055178,-0.008331,102330.000000,104312.000000
1035.855257,-0.008720,102161.000000,104233.000000
1039.650936,-0.009072,101990.000000,104143.000000
1043.442216,-0.009082,101741.000000,103891.000000
1048.490413,-0.007970,101666.000000,103549.000000
1052.271428,-0.009194,101700.000000,103876.000000
1056.048044,-0.009563,101777.000000,104043.000000
1059.820261,-0.009980,101906.000000,104275.000000
1063.588079,-0.009423,102259.000000,104502.000000
1067.351497,-0.009708,102763.000000,105086.000000
1071.110517,-0.011164,103190.000000,105877.000000
1074.865137,-0.010400,103645.000000,106157.000000
1078.615358,-0.011405,104247.000000,107021.000000
1082.361180,-0.012152,104844.000000,107819.000000
1086.102603,-0.012284,105404.000000,108428.000000
1089.839627,-0.014103,105830.000000,109323.000000
1093.572251,-0.013133,106541.000000,109812.000000
1097.300477,-0.012767,106997.000000,110189.000000
1102.264601,-0.012749,107655.000000,110862.000000
1105.982562,-0.011161,108209.000000,111026.000000
1109.696123,-0.010437,108541.000000,111181.000000
1113.405285,-0.007964,108883.000000,110898.000000
1117.110049,-0.005694,109111.000000,110551.000000
1120.810413,-0.002627,109449.000000,110113.000000
1124.506378,0.001216,110148.000000,109840.000000
1128.197943,0.002047,110387.000000,109868.000000
1131.885110,0.001531,110542.000000,110153.000000
1135.567878,-0.002365,110818.000000,111423.000000
1139.246246,-0.005526,111041.000000,112463.000000
1142.920215,-0.007135,111319.000000,113163.000000
1146.589785,-0.010130,111575.000000,114208.000000
1150.254956,-0.010233,112030.000000,114701.000000
1155.135007,-0.009726,112594.000000,115144.000000
1158.789913,-0.008933,113176.000000,115528.000000
1162.440420,-0.008398,113756.000000,115977.000000
1166.086528,-0.007457,114495.000000,116478.000000
1169.728237,-0.007168,115248.000000,117166.000000
1173.365546,-0.006621,116196.000000,117981.000000
1176.998457,-0.007032,117260.000000,119174.000000
1180.626968,-0.009455,118314.000000,120918.000000
1184.251080,-0.011431,119420.000000,122605.000000
1187.870793,-0.012296,120660.000000,124125.000000
1191.486107,-0.013110,122104.000000,125846.000000
1195.097021,-0.015639,123408.000000,127933.000000
1198.703537,-0.016340,124879.000000,129667.000000
1203.505381,-0.017103,127171.000000,132279.000000
1207.101631,-0.018446,128929.000000,134523.000000
1210.693483,-0.018278,130624.000000,136239.000000
1214.280935,-0.017590,132432.000000,137906.000000
1217.863989,-0.018469,134356.000000,140193.000000
1221.442643,-0.018548,136434.000000,142387.000000
1225.016898,-0.018285,138254.000000,144199.000000
1228.586754,-0.018053,140110.000000,146057.000000
1232.152210,-0.018944,142307.000000,148652.000000
1235.713268,-0.019181,144480.000000,151004.000000
1239.269926,-0.018258,146375.000000,152660.000000
1242.822185,-0.019372,148395.000000,155164.000000
1246.370045,-0.019163,150778.000000,157580.000000
1249.913506,-0.019133,153060.000000,159954.000000
1254.631278,-0.018427,155918.000000,162676.000000
1258.164474,-0.017941,157931.000000,164592.000000
1261.693271,-0.017448,160225.000000,166793.000000
1265.217669,-0.018144,162531.000000,169465.000000
1268.737667,-0.017447,164471.000000,171213.000000
1272.253267,-0.018102,166342.000000,173422.000000
1275.764467,-0.017920,168611.000000,175714.000000
1279.271269,-0.018179,170630.000000,177924.000000
1282.773671,-0.018444,172186.000000,179656.000000
1286.271674,-0.018540,173503.000000,181070.000000
1289.765277,-0.019087,175078.000000,182944.000000
1293.254482,-0.018266,176321.000000,183895.000000
1296.739287,-0.017429,177150.000000,184404.000000
1300.219694,-0.017456,178114.000000,185419.000000
1304.853392,-0.016182,179516.000000,186331.000000
1308.323534,-0.015806,180112.000000,186788.000000
1311.789276,-0.015257,180427.000000,186878.000000
1315.250620,-0.015986,180849.000000,187630.000000
1318.707564,-0.015693,181295.000000,187966.000000
