Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:18:37,,
Header Version:,1,,
System Temp (C):,29.61,,
Detector Temp (C):,29.02,,
Humidity (%):,36.92,,
Lamp PD:,3796,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.510,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1360.981500,0.179363,175417.000000,116067.000000
1364.379789,0.180406,174939.000000,115473.000000
1367.773679,0.180792,174429.000000,115034.000000
1371.163169,0.182980,174092.000000,114235.000000
1374.548260,0.183472,173838.000000,113939.000000
1377.928953,0.186143,173647.000000,113116.000000
1381.305246,0.188169,173017.000000,112181.000000
1384.677139,0.190461,172585.000000,111312.000000
1388.044634,0.193563,172273.000000,110320.000000
1391.407730,0.197788,171871.000000,108997.000000
1394.766426,0.200883,171212.000000,107808.000000
1399.237845,0.207316,170477.000000,105767.000000
1402.586276,0.211869,170057.000000,104406.000000
1405.930309,0.216608,169522.000000,102948.000000
1409.269942,0.222179,169040.000000,101347.000000
1412.605176,0.227172,168685.000000,99978.000000
1415.936011,0.231534,168440.000000,98835.000000
1419.262447,0.235238,168277.000000,97901.000000
1422.584484,0.238699,168052.000000,96994.000000
1425.902122,0.240526,168094.000000,96611.000000
1429.215360,0.243638,168176.000000,95968.000000
1432.524199,0.245791,168237.000000,95528.000000
1435.828639,0.246648,168356.000000,95407.000000
1439.128680,0.247867,168675.000000,95320.000000
1442.424322,0.249212,168916.000000,95161.000000
1446.811668,0.251448,169258.000000,94864.000000
1450.097045,0.253046,169379.000000,94583.000000
1453.378023,0.253661,169391.000000,94456.000000
1456.654602,0.255501,169334.000000,94025.000000
1459.926782,0.256648,169305.000000,93761.000000
1463.194562,0.257120,169126.000000,93560.000000
1466.457943,0.258519,168919.000000,93145.000000
1469.716926,0.258929,168594.000000,92878.000000
1472.971509,0.259927,168234.000000,92467.000000
1476.221692,0.260508,167663.000000,92030.000000
1479.467477,0.263033,167217.000000,91253.000000
1482.708863,0.264938,166625.000000,90532.000000
1485.945849,0.265466,166131.000000,90154.000000
1489.178436,0.268524,165518.000000,89191.000000
1493.481710,0.272214,164484.000000,87884.000000
1496.704032,0.274535,164054.000000,87187.000000
1499.921956,0.274940,163401.000000,86759.000000
1503.135480,0.274976,162290.000000,86162.000000
1506.344605,0.274696,161374.000000,85731.000000
1509.549331,0.274708,160366.000000,85193.000000
1512.749658,0.273214,159378.000000,84960.000000
1515.945585,0.271787,158285.000000,84655.000000
1519.137114,0.270755,157316.000000,84337.000000
1522.324243,0.269539,156147.000000,83945.000000
1525.506973,0.268037,155113.000000,83678.000000
1528.685304,0.265699,154000.000000,83526.000000
1531.859236,0.263993,152588.000000,83086.000000
1535.028769,0.260844,151256.000000,82960.000000
1539.247969,0.258912,149501.000000,82363.000000
1542.407237,0.256048,148026.000000,82090.000000
1545.562106,0.252878,146484.000000,81830.000000
1548.712576,0.250663,144932.000000,81377.000000
1551.858646,0.247948,143312.000000,80972.000000
1555.000318,0.246786,141623.000000,80232.000000
1558.137590,0.245814,139790.000000,79371.000000
1561.270463,0.244352,137958.000000,78595.000000
1564.398937,0.242811,136203.000000,77871.000000
1567.523012,0.241934,134303.000000,76940.000000
1570.642687,0.241970,132340.000000,75809.000000
1573.757964,0.242129,130373.000000,74655.000000
1576.868841,0.241793,128194.000000,73464.000000
1581.009834,0.240305,125453.000000,72140.000000
1584.110447,0.240829,123268.000000,70798.000000
1587.206660,0.239663,121128.000000,69756.000000
1590.298475,0.238553,118983.000000,68696.000000
1593.385890,0.237000,116601.000000,67562.000000
1596.468906,0.235542,114492.000000,66563.000000
1599.547522,0.233841,112247.000000,65514.000000
1602.621740,0.235008,110113.000000,64096.000000
1605.691559,0.232619,107845.000000,63122.000000
1608.756978,0.231589,105764.000000,62051.000000
1611.817998,0.231628,103762.000000,60871.000000
1614.874619,0.229067,101454.000000,59869.000000
1617.926841,0.228882,99141.000000,58529.000000
1620.974664,0.228076,96810.000000,57259.000000
1625.031584,0.227760,93749.000000,55489.000000
1628.069142,0.227151,91480.000000,54222.000000
1631.102301,0.228671,89180.000000,52674.000000
1634.131061,0.228147,86957.000000,51423.000000
1637.155422,0.230679,84664.000000,49776.000000
1640.175383,0.232041,82560.000000,48387.000000
1643.190945,0.236679,80299.000000,46562.000000
1646.202108,0.239036,77863.000000,44905.000000
1649.208872,0.242743,75323.000000,43071.000000
1652.211237,0.245598,72646.000000,41268.000000
1655.209203,0.245594,69695.000000,39592.000000
1658.202769,0.246475,66120.000000,37485.000000
1661.191937,0.239864,61928.000000,35647.000000
1664.176705,0.230190,57108.000000,33613.000000
1668.149553,0.209119,49420.000000,30534.000000
1671.124056,0.191993,43252.000000,27798.000000
1674.094160,0.176432,37007.000000,24652.000000
1677.059866,0.163682,31448.000000,21573.000000
1680.021172,0.154769,26509.000000,18562.000000
1682.978078,0.158155,22318.000000,15506.000000
1685.930586,0.165061,18913.000000,12933.000000
1688.878695,0.167302,16215.000000,11031.000000
1691.822404,0.170568,13947.000000,9417.000000
1694.761714,0.177876,12072.000000,8015.000000
1697.696625,0.185305,10552.000000,6887.000000
1700.627137,0.183659,9233.000000,6049.000000
