Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 20:13:4,,
Header Version:,1,,
System Temp (C):,30.2,,
Detector Temp (C):,28.84,,
Humidity (%):,38.41,,
Lamp PD:,3794,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.510,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.124963,23756.000000,17816.000000
905.500242,0.129332,26065.000000,19352.000000
909.444026,0.128793,28446.000000,21146.000000
913.383411,0.135232,31151.000000,22816.000000
917.318397,0.137686,34594.000000,25195.000000
921.248983,0.139149,38706.000000,28095.000000
925.175171,0.137310,43333.000000,31587.000000
929.096959,0.138876,48106.000000,34940.000000
933.014348,0.139856,52854.000000,38302.000000
936.927338,0.138648,57207.000000,41572.000000
942.137815,0.138035,62583.000000,45543.000000
946.040540,0.138380,66412.000000,48291.000000
949.938866,0.138590,70192.000000,51015.000000
953.832793,0.138682,73953.000000,53737.000000
957.722320,0.138410,77741.000000,56525.000000
961.607449,0.139021,81459.000000,59145.000000
965.488178,0.139318,84970.000000,61652.000000
969.364509,0.141188,88307.000000,63798.000000
973.236440,0.138020,91422.000000,66532.000000
977.103972,0.139538,94242.000000,68345.000000
980.967105,0.138667,96650.000000,70232.000000
984.825838,0.140718,98706.000000,71388.000000
988.680173,0.140835,100691.000000,72804.000000
992.530108,0.140413,102102.000000,73896.000000
997.656512,0.141578,103062.000000,74391.000000
1001.496183,0.142145,103488.000000,74601.000000
1005.331454,0.141615,103668.000000,74822.000000
1009.162327,0.141516,103604.000000,74793.000000
1012.988800,0.140793,103501.000000,74843.000000
1016.810874,0.141042,103473.000000,74780.000000
1020.628549,0.139990,103180.000000,74749.000000
1024.441824,0.141166,102848.000000,74307.000000
1028.250701,0.140311,102542.000000,74232.000000
1032.055178,0.139909,102330.000000,74147.000000
1035.855257,0.139613,102161.000000,74075.000000
1039.650936,0.139355,101990.000000,73995.000000
1043.442216,0.139116,101741.000000,73855.000000
1048.490413,0.140027,101666.000000,73646.000000
1052.271428,0.138882,101700.000000,73865.000000
1056.048044,0.138101,101777.000000,74054.000000
1059.820261,0.137620,101906.000000,74230.000000
1063.588079,0.137942,102259.000000,74432.000000
1067.351497,0.137262,102763.000000,74916.000000
1071.110517,0.135702,103190.000000,75498.000000
1074.865137,0.136108,103645.000000,75760.000000
1078.615358,0.134709,104247.000000,76446.000000
1082.361180,0.133540,104844.000000,77091.000000
1086.102603,0.133258,105404.000000,77553.000000
1089.839627,0.131424,105830.000000,78196.000000
1093.572251,0.132011,106541.000000,78615.000000
1097.300477,0.131596,106997.000000,79027.000000
1102.264601,0.130434,107655.000000,79726.000000
1105.982562,0.131038,108209.000000,80025.000000
1109.696123,0.130176,108541.000000,80430.000000
1113.405285,0.130399,108883.000000,80642.000000
1117.110049,0.130038,109111.000000,80878.000000
1120.810413,0.129795,109449.000000,81174.000000
1124.506378,0.130382,110148.000000,81582.000000
1128.197943,0.129958,110387.000000,81839.000000
1131.885110,0.129623,110542.000000,82017.000000
1135.567878,0.127762,110818.000000,82575.000000
1139.246246,0.126510,111041.000000,82980.000000
1142.920215,0.126712,111319.000000,83149.000000
1146.589785,0.125054,111575.000000,83659.000000
1150.254956,0.125215,112030.000000,83969.000000
1155.135007,0.125461,112594.000000,84344.000000
1158.789913,0.125692,113176.000000,84735.000000
1162.440420,0.125984,113756.000000,85112.000000
1166.086528,0.126653,114495.000000,85533.000000
1169.728237,0.126519,115248.000000,86122.000000
1173.365546,0.127217,116196.000000,86691.000000
1176.998457,0.127952,117260.000000,87337.000000
1180.626968,0.126643,118314.000000,88388.000000
1184.251080,0.126922,119420.000000,89157.000000
1187.870793,0.127784,120660.000000,89904.000000
1191.486107,0.128682,122104.000000,90792.000000
1195.097021,0.127626,123408.000000,91985.000000
1198.703537,0.128142,124879.000000,92971.000000
1203.505381,0.128575,127171.000000,94583.000000
1207.101631,0.128283,128929.000000,95955.000000
1210.693483,0.129184,130624.000000,97015.000000
1214.280935,0.130235,132432.000000,98120.000000
1217.863989,0.129518,134356.000000,99710.000000
1221.442643,0.129373,136434.000000,101286.000000
1225.016898,0.129327,138254.000000,102648.000000
1228.586754,0.129173,140110.000000,104063.000000
1232.152210,0.128174,142307.000000,105938.000000
