Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 20:11:45,,
Header Version:,1,,
System Temp (C):,29.78,,
Detector Temp (C):,28.92,,
Humidity (%):,39.71,,
Lamp PD:,3795,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.510,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.127628,23756.000000,17707.000000
905.500242,0.133662,26065.000000,19160.000000
909.444026,0.132216,28446.000000,20980.000000
913.383411,0.137829,31151.000000,22680.000000
917.318397,0.141235,34594.000000,24990.000000
921.248983,0.141816,38706.000000,27923.000000
925.175171,0.139861,43333.000000,31402.000000
929.096959,0.142245,48106.000000,34670.000000
933.014348,0.142062,52854.000000,38108.000000
936.927338,0.139830,57207.000000,41459.000000
942.137815,0.139257,62583.000000,45415.000000
946.040540,0.139831,66412.000000,48130.000000
949.938866,0.137688,70192.000000,51121.000000
953.832793,0.137778,73953.000000,53849.000000
957.722320,0.136822,77741.000000,56732.000000
961.607449,0.137255,81459.000000,59386.000000
965.488178,0.136762,84970.000000,62016.000000
969.364509,0.137933,88307.000000,64278.000000
973.236440,0.134678,91422.000000,67046.000000
977.103972,0.135874,94242.000000,68924.000000
980.967105,0.134605,96650.000000,70892.000000
984.825838,0.136541,98706.000000,72078.000000
988.680173,0.135983,100691.000000,73622.000000
992.530108,0.135656,102102.000000,74710.000000
997.656512,0.136367,103062.000000,75289.000000
1001.496183,0.136569,103488.000000,75565.000000
1005.331454,0.136308,103668.000000,75742.000000
1009.162327,0.136372,103604.000000,75684.000000
1012.988800,0.135407,103501.000000,75777.000000
1016.810874,0.135674,103473.000000,75710.000000
1020.628549,0.134942,103180.000000,75623.000000
1024.441824,0.135938,102848.000000,75207.000000
1028.250701,0.135077,102542.000000,75132.000000
1032.055178,0.134878,102330.000000,75011.000000
1035.855257,0.134235,102161.000000,74998.000000
1039.650936,0.134070,101990.000000,74901.000000
1043.442216,0.134053,101741.000000,74721.000000
1048.490413,0.134920,101666.000000,74517.000000
1052.271428,0.133704,101700.000000,74751.000000
1056.048044,0.133261,101777.000000,74884.000000
1059.820261,0.132623,101906.000000,75089.000000
1063.588079,0.133039,102259.000000,75277.000000
1067.351497,0.132500,102763.000000,75742.000000
1071.110517,0.131147,103190.000000,76294.000000
1074.865137,0.131705,103645.000000,76532.000000
1078.615358,0.130272,104247.000000,77231.000000
1082.361180,0.129413,104844.000000,77827.000000
1086.102603,0.129273,105404.000000,78268.000000
1089.839627,0.127191,105830.000000,78962.000000
1093.572251,0.127948,106541.000000,79354.000000
1097.300477,0.127630,106997.000000,79752.000000
1102.264601,0.126476,107655.000000,80456.000000
1105.982562,0.127218,108209.000000,80732.000000
1109.696123,0.126252,108541.000000,81160.000000
1113.405285,0.126410,108883.000000,81386.000000
1117.110049,0.126333,109111.000000,81571.000000
1120.810413,0.126114,109449.000000,81865.000000
1124.506378,0.127374,110148.000000,82149.000000
1128.197943,0.127086,110387.000000,82382.000000
1131.885110,0.127542,110542.000000,82411.000000
1135.567878,0.125773,110818.000000,82954.000000
1139.246246,0.125125,111041.000000,83245.000000
1142.920215,0.125028,111319.000000,83472.000000
