Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 20:16:43,,
Header Version:,1,,
System Temp (C):,30.46,,
Detector Temp (C):,29.1,,
Humidity (%):,39.7,,
Lamp PD:,3794,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.450,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,-0.006226,23756.000000,24099.000000
905.500242,0.000050,26065.000000,26062.000000
909.444026,-0.000473,28446.000000,28477.000000
913.383411,0.005006,31151.000000,30794.000000
917.318397,0.007816,34594.000000,33977.000000
921.248983,0.009368,38706.000000,37880.000000
925.175171,0.007664,43333.000000,42575.000000
929.096959,0.009935,48106.000000,47018.000000
933.014348,0.009755,52854.000000,51680.000000
936.927338,0.008695,57207.000000,56073.000000
942.137815,0.007306,62583.000000,61539.000000
946.040540,0.006735,66412.000000,65390.000000
949.938866,0.006370,70192.000000,69170.000000
953.832793,0.006640,73953.000000,72831.000000
957.722320,0.006189,77741.000000,76641.000000
961.607449,0.006895,81459.000000,80176.000000
965.488178,0.007293,84970.000000,83555.000000
969.364509,0.008623,88307.000000,86571.000000
973.236440,0.006369,91422.000000,90091.000000
977.103972,0.007943,94242.000000,92534.000000
980.967105,0.006679,96650.000000,95175.000000
984.825838,0.008585,98706.000000,96774.000000
988.680173,0.008577,100691.000000,98722.000000
992.530108,0.008605,102102.000000,100099.000000
997.656512,0.009384,103062.000000,100859.000000
1001.496183,0.009976,103488.000000,101138.000000
1005.331454,0.009474,103668.000000,101431.000000
1009.162327,0.009497,103604.000000,101363.000000
1012.988800,0.008808,103501.000000,101423.000000
1016.810874,0.009672,103473.000000,101194.000000
1020.628549,0.009210,103180.000000,101015.000000
1024.441824,0.010168,102848.000000,100468.000000
1028.250701,0.009744,102542.000000,100267.000000
1032.055178,0.009547,102330.000000,100105.000000
1035.855257,0.008894,102161.000000,100090.000000
1039.650936,0.008853,101990.000000,99932.000000
1043.442216,0.008814,101741.000000,99697.000000
1048.490413,0.009903,101666.000000,99374.000000
1052.271428,0.008713,101700.000000,99680.000000
1056.048044,0.008436,101777.000000,99819.000000
1059.820261,0.007996,101906.000000,100047.000000
1063.588079,0.008418,102259.000000,100296.000000
1067.351497,0.007967,102763.000000,100895.000000
1071.110517,0.006300,103190.000000,101704.000000
1074.865137,0.007025,103645.000000,101982.000000
1078.615358,0.006147,104247.000000,102782.000000
1082.361180,0.005263,104844.000000,103581.000000
1086.102603,0.005189,105404.000000,104152.000000
1089.839627,0.003122,105830.000000,105072.000000
1093.572251,0.004013,106541.000000,105561.000000
1097.300477,0.003816,106997.000000,106061.000000
1102.264601,0.003365,107655.000000,106824.000000
1105.982562,0.004198,108209.000000,107168.000000
1109.696123,0.004456,108541.000000,107433.000000
1113.405285,0.005402,108883.000000,107537.000000
1117.110049,0.006161,109111.000000,107574.000000
1120.810413,0.007541,109449.000000,107565.000000
1124.506378,0.010213,110148.000000,107588.000000
1128.197943,0.010162,110387.000000,107834.000000
1131.885110,0.009846,110542.000000,108064.000000
1135.567878,0.007264,110818.000000,108980.000000
1139.246246,0.005245,111041.000000,109708.000000
1142.920215,0.004589,111319.000000,110149.000000
1146.589785,0.002949,111575.000000,110820.000000
1150.254956,0.003097,112030.000000,111234.000000
1155.135007,0.004124,112594.000000,111530.000000
1158.789913,0.004967,113176.000000,111889.000000
1162.440420,0.005807,113756.000000,112245.000000
1166.086528,0.007202,114495.000000,112612.000000
1169.728237,0.007990,115248.000000,113147.000000
1173.365546,0.008820,116196.000000,113860.000000
1176.998457,0.009613,117260.000000,114693.000000
1180.626968,0.008556,118314.000000,116006.000000
1184.251080,0.008591,119420.000000,117081.000000
1187.870793,0.009258,120660.000000,118115.000000
1191.486107,0.009907,122104.000000,119350.000000
1195.097021,0.008766,123408.000000,120942.000000
1198.703537,0.008932,124879.000000,122337.000000
1203.505381,0.009386,127171.000000,124452.000000
1207.101631,0.009040,128929.000000,126273.000000
1210.693483,0.009972,130624.000000,127659.000000
1214.280935,0.010455,132432.000000,129282.000000
1217.863989,0.009996,134356.000000,131299.000000
1221.442643,0.009793,136434.000000,133392.000000
1225.016898,0.009756,138254.000000,135183.000000
1228.586754,0.009546,140110.000000,137064.000000
1232.152210,0.008201,142307.000000,139645.000000
1235.713268,0.007409,144480.000000,142036.000000
1239.269926,0.007575,146375.000000,143844.000000
1242.822185,0.006142,148395.000000,146311.000000
1246.370045,0.005858,150778.000000,148758.000000
1249.913506,0.005485,153060.000000,151139.000000
1254.631278,0.006025,155918.000000,153770.000000
1258.164474,0.006274,157931.000000,155666.000000
1261.693271,0.006563,160225.000000,157822.000000
1265.217669,0.005959,162531.000000,160316.000000
1268.737667,0.006464,164471.000000,162041.000000
1272.253267,0.005446,166342.000000,164269.000000
1275.764467,0.005206,168611.000000,166602.000000
1279.271269,0.004392,170630.000000,168913.000000
1282.773671,0.003469,172186.000000,170816.000000
1286.271674,0.002923,173503.000000,172339.000000
1289.765277,0.001688,175078.000000,174399.000000
1293.254482,0.001888,176321.000000,175556.000000
1296.739287,0.002052,177150.000000,176315.000000
1300.219694,0.001908,178114.000000,177333.000000
1304.853392,0.002815,179516.000000,178356.000000
1308.323534,0.002995,180112.000000,178874.000000
1311.789276,0.003320,180427.000000,179053.000000
1315.250620,0.002891,180849.000000,179649.000000
1318.707564,0.003067,181295.000000,180019.000000
1322.160109,0.003911,181387.000000,179761.000000
1325.608255,0.004391,181312.000000,179488.000000
1329.052002,0.004918,181274.000000,179233.000000
1332.491349,0.005701,181109.000000,178747.000000
1335.926297,0.006573,180689.000000,177975.000000
1339.356847,0.008355,179848.000000,176421.000000
1342.782997,0.010020,179242.000000,175154.000000
1346.204748,0.012281,178573.000000,173594.000000
1349.622099,0.014497,177890.000000,172050.000000
1354.171725,0.018707,176659.000000,169211.000000
1357.578812,0.021607,175938.000000,167399.000000
1360.981500,0.023736,175417.000000,166087.000000
1364.379789,0.025798,174939.000000,164850.000000
1367.773679,0.026484,174429.000000,164110.000000
1371.163169,0.028573,174092.000000,163007.000000
1374.548260,0.028736,173838.000000,162708.000000
1377.928953,0.030732,173647.000000,161784.000000
1381.305246,0.031263,173017.000000,161000.000000
1384.677139,0.032129,172585.000000,160278.000000
1388.044634,0.033282,172273.000000,159564.000000
1391.407730,0.035546,171871.000000,158364.000000
1394.766426,0.037068,171212.000000,157205.000000
1399.237845,0.042195,170477.000000,154693.000000
1402.586276,0.046014,170057.000000,152961.000000
1405.930309,0.050531,169522.000000,150902.000000
1409.269942,0.056076,169040.000000,148564.000000
1412.605176,0.062052,168685.000000,146226.000000
1415.936011,0.067408,168440.000000,144224.000000
1419.262447,0.072460,168277.000000,142418.000000
1422.584484,0.077224,168052.000000,140676.000000
1425.902122,0.081096,168094.000000,139462.000000
1429.215360,0.085473,168176.000000,138131.000000
1432.524199,0.088685,168237.000000,137163.000000
1435.828639,0.090549,168356.000000,136672.000000
1439.128680,0.092392,168675.000000,136351.000000
1442.424322,0.094595,168916.000000,135855.000000
1446.811668,0.097139,169258.000000,135335.000000
1450.097045,0.099202,169379.000000,134790.000000
1453.378023,0.100449,169391.000000,134413.000000
1456.654602,0.103374,169334.000000,133466.000000
1459.926782,0.105573,169305.000000,132769.000000
1463.194562,0.107541,169126.000000,132029.000000
1466.457943,0.110470,168919.000000,130981.000000
1469.716926,0.112605,168594.000000,130088.000000
1472.971509,0.115674,168234.000000,128896.000000
1476.221692,0.117682,167663.000000,127866.000000
1479.467477,0.120638,167217.000000,126661.000000
1482.708863,0.121628,166625.000000,125925.000000
1485.945849,0.121164,166131.000000,125686.000000
1489.178436,0.122304,165518.000000,124894.000000
1493.481710,0.123228,164484.000000,123850.000000
1496.704032,0.123591,164054.000000,123423.000000
1499.921956,0.122605,163401.000000,123211.000000
1503.135480,0.122110,162290.000000,122513.000000
1506.344605,0.120766,161374.000000,122199.000000
1509.549331,0.119708,160366.000000,121732.000000
1512.749658,0.117745,159378.000000,121530.000000
1515.945585,0.116360,158285.000000,121082.000000
1519.137114,0.116439,157316.000000,120319.000000
1522.324243,0.115897,156147.000000,119574.000000
1525.506973,0.115905,155113.000000,118780.000000
1528.685304,0.115985,154000.000000,117906.000000
1531.859236,0.116799,152588.000000,116606.000000
1535.028769,0.116060,151256.000000,115785.000000
1539.247969,0.116940,149501.000000,114210.000000
1542.407237,0.116365,148026.000000,113233.000000
1545.562106,0.114993,146484.000000,112408.000000
1548.712576,0.114782,144932.000000,111271.000000
1551.858646,0.113463,143312.000000,110362.000000
1555.000318,0.113492,141623.000000,109054.000000
1558.137590,0.113494,139790.000000,107642.000000
1561.270463,0.112140,137958.000000,106563.000000
1564.398937,0.110877,136203.000000,105514.000000
1567.523012,0.109722,134303.000000,104319.000000
1570.642687,0.109812,132340.000000,102773.000000
1573.757964,0.110063,130373.000000,101187.000000
1576.868841,0.110062,128194.000000,99496.000000
1581.009834,0.109690,125453.000000,97452.000000
1584.110447,0.110879,123268.000000,95493.000000
1587.206660,0.110547,121128.000000,93907.000000
1590.298475,0.109334,118983.000000,92502.000000
1593.385890,0.107174,116601.000000,91102.000000
1596.468906,0.104875,114492.000000,89929.000000
1599.547522,0.102129,112247.000000,88725.000000
1602.621740,0.102015,110113.000000,87061.000000
1605.691559,0.097968,107845.000000,86066.000000
1608.756978,0.095630,105764.000000,84861.000000
1611.817998,0.094706,103762.000000,83432.000000
1614.874619,0.090774,101454.000000,82318.000000
1617.926841,0.089234,99141.000000,80727.000000
1620.974664,0.087080,96810.000000,79221.000000
1625.031584,0.084749,93749.000000,77129.000000
1628.069142,0.083886,91480.000000,75412.000000
1631.102301,0.084234,89180.000000,73457.000000
1634.131061,0.083549,86957.000000,71739.000000
1637.155422,0.087223,84664.000000,69259.000000
1640.175383,0.089646,82560.000000,67162.000000
1643.190945,0.096108,80299.000000,64358.000000
1646.202108,0.100308,77863.000000,61805.000000
1649.208872,0.107262,75323.000000,58839.000000
1652.211237,0.112411,72646.000000,56079.000000
1655.209203,0.114783,69695.000000,53508.000000
1658.202769,0.117059,66120.000000,50498.000000
1661.191937,0.109165,61928.000000,48164.000000
1664.176705,0.096220,57108.000000,45759.000000
1668.149553,0.065279,49420.000000,42523.000000
1671.124056,0.041890,43252.000000,39275.000000
1674.094160,0.018521,37007.000000,35462.000000
1677.059866,-0.000649,31448.000000,31495.000000
1680.021172,-0.014769,26509.000000,27426.000000
1682.978078,-0.019613,22318.000000,23349.000000
1685.930586,-0.017463,18913.000000,19689.000000
1688.878695,-0.020711,16215.000000,17007.000000
1691.822404,-0.019842,13947.000000,14599.000000
1694.761714,-0.017487,12072.000000,12568.000000
1697.696625,-0.011053,10552.000000,10824.000000
1700.627137,-0.008339,9233.000000,9412.000000
