Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 21:33:26,,
Header Version:,1,,
System Temp (C):,27.79,,
Detector Temp (C):,26.66,,
Humidity (%):,43.92,,
Lamp PD:,3798,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.453,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1360.981500,0.158300,175417.000000,121835.000000
1364.379789,0.159208,174939.000000,121249.000000
1367.773679,0.159232,174429.000000,120889.000000
1371.163169,0.160513,174092.000000,120300.000000
1374.548260,0.160851,173838.000000,120031.000000
1377.928953,0.163107,173647.000000,119278.000000
1381.305246,0.164176,173017.000000,118553.000000
1384.677139,0.165747,172585.000000,117830.000000
1388.044634,0.167820,172273.000000,117057.000000
1391.407730,0.170314,171871.000000,116115.000000
1394.766426,0.172700,171212.000000,115036.000000
1399.237845,0.177378,170477.000000,113315.000000
1402.586276,0.180273,170057.000000,112285.000000
1405.930309,0.183731,169522.000000,111044.000000
1409.269942,0.187241,169040.000000,109837.000000
1412.605176,0.190316,168685.000000,108833.000000
1415.936011,0.192965,168440.000000,108014.000000
1419.262447,0.194689,168277.000000,107482.000000
1422.584484,0.196105,168052.000000,106989.000000
1425.902122,0.197026,168094.000000,106789.000000
1429.215360,0.197673,168176.000000,106682.000000
1432.524199,0.198780,168237.000000,106449.000000
1435.828639,0.198199,168356.000000,106667.000000
1439.128680,0.198256,168675.000000,106855.000000
1442.424322,0.198470,168916.000000,106955.000000
1446.811668,0.198938,169258.000000,107056.000000
1450.097045,0.199464,169379.000000,107003.000000
1453.378023,0.199137,169391.000000,107091.000000
1456.654602,0.200641,169334.000000,106685.000000
1459.926782,0.201177,169305.000000,106535.000000
1463.194562,0.200775,169126.000000,106521.000000
1466.457943,0.201219,168919.000000,106282.000000
1469.716926,0.200701,168594.000000,106204.000000
1472.971509,0.201051,168234.000000,105892.000000
1476.221692,0.200967,167663.000000,105553.000000
1479.467477,0.202662,167217.000000,104862.000000
1482.708863,0.203223,166625.000000,104356.000000
1485.945849,0.203096,166131.000000,104077.000000
1489.178436,0.205048,165518.000000,103228.000000
1493.481710,0.207013,164484.000000,102120.000000
1496.704032,0.208585,164054.000000,101485.000000
1499.921956,0.208637,163401.000000,101069.000000
1503.135480,0.208645,162290.000000,100380.000000
1506.344605,0.207847,161374.000000,99997.000000
1509.549331,0.208006,160366.000000,99336.000000
1512.749658,0.207425,159378.000000,98856.000000
1515.945585,0.206458,158285.000000,98397.000000
1519.137114,0.206301,157316.000000,97830.000000
1522.324243,0.205287,156147.000000,97330.000000
1525.506973,0.204333,155113.000000,96898.000000
1528.685304,0.202611,154000.000000,96585.000000
1531.859236,0.201978,152588.000000,95839.000000
1535.028769,0.200292,151256.000000,95372.000000
1539.247969,0.198436,149501.000000,94669.000000
1542.407237,0.196915,148026.000000,94064.000000
1545.562106,0.194009,146484.000000,93709.000000
1548.712576,0.192854,144932.000000,92963.000000
1551.858646,0.191053,143312.000000,92306.000000
1555.000318,0.191101,141623.000000,91208.000000
1558.137590,0.190713,139790.000000,90108.000000
1561.270463,0.188871,137958.000000,89305.000000
1564.398937,0.187793,136203.000000,88388.000000
1567.523012,0.186987,134303.000000,87317.000000
1570.642687,0.187102,132340.000000,86018.000000
1573.757964,0.187828,130373.000000,84598.000000
1576.868841,0.187896,128194.000000,83171.000000
1581.009834,0.187121,125453.000000,81538.000000
1584.110447,0.188635,123268.000000,79839.000000
1587.206660,0.187457,121128.000000,78666.000000
1590.298475,0.187002,118983.000000,77354.000000
1593.385890,0.186312,116601.000000,75926.000000
1596.468906,0.185315,114492.000000,74724.000000
1599.547522,0.184751,112247.000000,73354.000000
1602.621740,0.186901,110113.000000,71604.000000
1605.691559,0.185197,107845.000000,70405.000000
1608.756978,0.185999,105764.000000,68919.000000
1611.817998,0.187610,103762.000000,67364.000000
1614.874619,0.186995,101454.000000,65959.000000
1617.926841,0.188015,99141.000000,64304.000000
1620.974664,0.189582,96810.000000,62566.000000
1625.031584,0.190613,93749.000000,60444.000000
1628.069142,0.191816,91480.000000,58818.000000
1631.102301,0.196317,89180.000000,56748.000000
1634.131061,0.198689,86957.000000,55032.000000
1637.155422,0.205896,84664.000000,52699.000000
1640.175383,0.215046,82560.000000,50318.000000
1643.190945,0.226893,80299.000000,47623.000000
1646.202108,0.238283,77863.000000,44983.000000
1649.208872,0.249972,75323.000000,42360.000000
1652.211237,0.263144,72646.000000,39634.000000
1655.209203,0.273149,69695.000000,37158.000000
1658.202769,0.282816,66120.000000,34476.000000
1661.191937,0.278709,61928.000000,32597.000000
1664.176705,0.268584,57108.000000,30769.000000
1668.149553,0.241258,49420.000000,28356.000000
1671.124056,0.220966,43252.000000,26004.000000
1674.094160,0.202721,37007.000000,23204.000000
1677.059866,0.186857,31448.000000,20452.000000
1680.021172,0.176575,26509.000000,17653.000000
1682.978078,0.174392,22318.000000,14937.000000
1685.930586,0.175839,18913.000000,12616.000000
1688.878695,0.171416,16215.000000,10927.000000
1691.822404,0.171492,13947.000000,9397.000000
1694.761714,0.182342,12072.000000,7933.000000
1697.696625,0.178485,10552.000000,6996.000000
1700.627137,0.177387,9233.000000,6137.000000
