Method,Hard_mean,Hard_std,Pseudo_mean,Pseudo_std,Delta_Teacher,Delta_Random,n_seeds
RFE (Linear SVM),0.9528,0.0189,0.9648,0.0093,0.0074,0.1117,3
L1 LogisticRegression,0.9522,0.0039,0.9610,0.0092,0.0037,0.1080,3
Mutual Information,0.9222,0.0326,0.9204,0.0338,-0.0369,0.0674,3
ANOVA F-score,0.9191,0.0133,0.9098,0.0108,-0.0475,0.0568,3
Random Forest Imp.,0.7793,0.0140,0.7912,0.0276,-0.1661,-0.0618,3
