Method,Hard_mean,Hard_std,Pseudo_mean,Pseudo_std,Delta_Teacher,Delta_Random,n_seeds
L1 LogisticRegression,0.9655,0.0076,0.9836,0.0068,0.0179,0.1116,5
RFE (Linear SVM),0.9655,0.0082,0.9576,0.0213,-0.0081,0.0856,5
Mutual Information,0.9503,0.0081,0.9457,0.0168,-0.0199,0.0738,5
ANOVA F-score,0.9122,0.0041,0.9102,0.0132,-0.0555,0.0382,5
Random Forest Imp.,0.8335,0.0584,0.8688,0.0201,-0.0969,-0.0032,5
