Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 21:3:31,,
Header Version:,1,,
System Temp (C):,30.25,,
Detector Temp (C):,28.92,,
Humidity (%):,36.71,,
Lamp PD:,3796,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.451,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1360.981500,0.093226,175417.000000,141529.000000
1364.379789,0.096213,174939.000000,140176.000000
1367.773679,0.097998,174429.000000,139194.000000
1371.163169,0.100532,174092.000000,138117.000000
1374.548260,0.100924,173838.000000,137791.000000
1377.928953,0.103267,173647.000000,136899.000000
1381.305246,0.104212,173017.000000,136106.000000
1384.677139,0.105359,172585.000000,135408.000000
1388.044634,0.106940,172273.000000,134672.000000
1391.407730,0.109982,171871.000000,133420.000000
1394.766426,0.112375,171212.000000,132178.000000
1399.237845,0.118937,170477.000000,129637.000000
1402.586276,0.124281,170057.000000,127736.000000
1405.930309,0.130859,169522.000000,125420.000000
1409.269942,0.138975,169040.000000,122748.000000
1412.605176,0.147555,168685.000000,120094.000000
1415.936011,0.156178,168440.000000,117562.000000
1419.262447,0.164659,168277.000000,115177.000000
1422.584484,0.172734,168052.000000,112904.000000
1425.902122,0.179412,168094.000000,111209.000000
1429.215360,0.186894,168176.000000,109363.000000
1432.524199,0.192421,168237.000000,108019.000000
1435.828639,0.196245,168356.000000,107148.000000
1439.128680,0.199766,168675.000000,106484.000000
1442.424322,0.203304,168916.000000,105771.000000
1446.811668,0.207786,169258.000000,104897.000000
1450.097045,0.211096,169379.000000,104175.000000
1453.378023,0.213606,169391.000000,103582.000000
1456.654602,0.217914,169334.000000,102525.000000
1459.926782,0.221323,169305.000000,101706.000000
1463.194562,0.224362,169126.000000,100890.000000
1466.457943,0.229249,168919.000000,99639.000000
1469.716926,0.232895,168594.000000,98616.000000
1472.971509,0.237328,168234.000000,97406.000000
1476.221692,0.240644,167663.000000,96337.000000
1479.467477,0.244612,167217.000000,95207.000000
1482.708863,0.246713,166625.000000,94412.000000
1485.945849,0.246658,166131.000000,94144.000000
1489.178436,0.248006,165518.000000,93506.000000
1493.481710,0.249049,164484.000000,92699.000000
1496.704032,0.249103,164054.000000,92445.000000
1499.921956,0.247719,163401.000000,92371.000000
1503.135480,0.246830,162290.000000,91931.000000
1506.344605,0.244528,161374.000000,91898.000000
1509.549331,0.243255,160366.000000,91592.000000
1512.749658,0.240538,159378.000000,91599.000000
1515.945585,0.238679,158285.000000,91361.000000
1519.137114,0.238137,157316.000000,90915.000000
1522.324243,0.237759,156147.000000,90318.000000
1525.506973,0.237681,155113.000000,89736.000000
1528.685304,0.237234,154000.000000,89184.000000
1531.859236,0.238475,152588.000000,88114.000000
1535.028769,0.237466,151256.000000,87548.000000
1539.247969,0.238663,149501.000000,86294.000000
1542.407237,0.237824,148026.000000,85608.000000
1545.562106,0.236259,146484.000000,85022.000000
